# metric_direction: higher_is_better
# metric: mean(qasper, multifieldqa_en) full-sample score, llama32-1b, K-bits logged per row
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-07-17T12:20	-	17.15	-	pass	28t	anchor	sign-only 1.25b (existing k125 vtile run: qasper 10.8, mfqa_en 23.5)
1	2026-07-17T21:22	-	22.4500	-	pass	28t	done	f75 uniform sigma2 1.50b (qasper 13.91, mfqa_en 30.99)
0	2026-07-17T21:23	-	25.0550	-	pass	28t	baseline	f50base canonical sigma2 1.75b (qasper 16.63, mfqa_en 33.48; matches pre-refactor run)
3	2026-07-17T21:25	-	25.4900	-	pass	28t	done	f00 pure-nf2 2.25b
4	2026-07-17T21:25	-	26.5250	-	pass	28t	done	q75 sigma2_x_q 1.50b (MixKVQ signal)
5	2026-07-17T21:25	-	23.7950	-	pass	28t	done	f75s layer-sched L10/14@0.5 sigma2 1.50b
6	2026-07-17T21:26	-	26.6100	-	pass	28t	done	f25 uniform sigma2 2.00b
7	2026-07-17T21:34	-	26.5700	-	pass	28t	done	q50 sigma2_x_q 1.75b
8	2026-07-17T21:35	-	21.2400	-	pass	28t	done	f75h per-head sigma2 1.50b
9	2026-07-17T21:37	-	23.6250	-	pass	28t	done	q85 sigma2_x_q 1.40b
10	2026-07-17T21:37	-	25.4600	-	pass	28t	done	qs75 sigma2_x_q + layer-sched 1.50b
11	2026-07-17T21:38	-	22.3800	-	pass	28t	done	qa75 q_abs-only 1.50b ablation
12	2026-07-17T21:39	-	27.7950	-	pass	28t	done	q65 sigma2_x_q 1.60b
13	2026-07-17T21:45	-	21.3450	-	pass	28t	done	q90 sigma2_x_q 1.35b
14	2026-07-17T21:48	-	26.2350	-	pass	28t	done	q75b seed-1 qstats robustness 1.50b
15	2026-07-17T21:48	-	26.1000	-	pass	28t	done	q80 sigma2_x_q 1.45b
16	2026-07-17T21:51	-	25.3750	-	pass	28t	done	q75p rope-pair binding 1.50b
17	2026-07-17T21:57	-	24.7200	-	pass	28t	done	f65 uniform sigma2 1.60b control
18	2026-07-17T22:10	-	24.8650	-	pass	31t	done	tt162 token-tier rho0.19 W64 lo=q80 1.62b
19	2026-07-17T22:11	-	23.7850	-	pass	31t	done	tt150 token-tier rho0.10 W64 lo=q85 hi=allnf2 1.50b
20	2026-07-17T22:22	-	27.2200	-	pass	31t	done	ttm150 mixed-hi tier lo1.35/hi1.60 rho0.537 1.50b
21	2026-07-17T22:23	-	26.8250	-	pass	31t	done	ttm160 mixed-hi tier lo1.40/hi1.75 rho0.527 1.60b
22	2026-07-17T22:34	-	25.2300	-	pass	31t	done	ttm140 mixed-hi tier lo1.30/hi1.60 rho0.281 1.40b
23	2026-07-17T22:35	-	27.1700	-	pass	31t	done	ttm150b mixed-hi tier lo1.30/hi1.60 rho0.615 1.50b robustness
24	2026-07-18T00:30	-	24.53	-	pass	31t	FULL21	q65 sigma2_x_q 1.60b FULL (vs canonical f50@1.75b 24.23: +0.30, -0.15bit; gains QA/retrieval, regress code/zh)
25	2026-07-18T00:48	-	24.27	-	pass	31t	FULL21	q75 sigma2_x_q 1.50b FULL
26	2026-07-18T01:42	-	24.52	-	pass	31t	FULL21	ttm150 2D token-tier 1.50b FULL
27	2026-07-18T02:52	-	24.4350	-	pass	31t	done	q65a5 tempered alpha0.5 1.60b 4-set domain metric
28	2026-07-18T03:25	-	24.28	-	pass	31t	FULL21	f65 uniform sigma2 1.60b FULL control
29	2026-07-18T03:33	-	23.78	-	pass	31t	FULL21	f75 uniform sigma2 1.50b FULL control
30	2026-07-18T07:39	-	18.23	-	pass	31t	ROLLOUT	MiniCPM5-1B q65 1.60b FULL21
31	2026-07-18T11:41	-	34.30	-	pass	31t	ROLLOUT	Llama-3.2-3B q65 1.60b FULL21
32	2026-07-18T12:44	-	18.10	-	pass	31t	ROLLOUT	MiniCPM5-1B ttm150 2D 1.49b FULL21
33	2026-07-18T18:24	-	12.18	-	pass	31t	ROLLOUT	Qwen3-4B q65 no-band 1.60b FULL21 (collapse control)
34	2026-07-18T19:53	-	34.18	-	pass	31t	ROLLOUT	Llama-3.2-3B ttm150 2D 1.50b FULL21
35	2026-07-18T21:04	-	23.64	-	pass	31t	FULL21	llama-1B q65band universality test 1.60b
36	2026-07-19T00:56	-	24.42	-	pass	31t	ROLLOUT	Qwen3-4B q65band(0.05) 1.60b FULL21 (collapse FIXED)
37	2026-07-19T08:20	-	26.88	-	pass	31t	ROLLOUT	Qwen3-4B band-0.10 1.60b FULL21
38	2026-07-19T12:55	-	25.83	-	pass	31t	ROLLOUT	Qwen3-4B per-head R3 1.60b FULL21
39	2026-07-19T13:29	-	-	-	-	-	stopped	Qwen band-0.20 stopped by user (2/21 done); Qwen3-4B moved to separate discussion
